"filename", "language", "C++", "CMake", "JSON5", "JSON", "Python", "Markdown", "hetu", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\incident\readme.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 27, 90
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\item\consumable\readme.md", "Markdown", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 16, 74
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\item\equipment\readme.md", "Markdown", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 55, 139
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\item\readme.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\quest\readme.md", "Markdown", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 84, 199
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\quest\work_produce\readme.md", "Markdown", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\readme.md", "Markdown", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 9, 25
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\sect\readme.md", "Markdown", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 118, 266
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tutorial\readme.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 18
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tycoon\city\readme.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\_dev\heavenly-tribulation\docs\docs\how2play\tycoon\material\readme.md", "Markdown", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 53, 134
